date,diesel,e10,e5,weekday,is_holiday
2026-08-21 06:40:46,2.209,2.109,2.169,4,0
2026-08-21 07:14:16,2.209,2.099,2.159,4,0
2026-08-21 11:12:57,2.199,2.099,2.159,4,0
2026-08-21 11:37:29,2.189,2.079,2.139,4,0
2026-08-21 12:04:58,2.459,2.359,2.399,4,0
2026-08-21 12:43:35,2.399,2.279,2.339,4,0
2026-08-21 13:25:19,2.389,2.269,2.329,4,0
2026-08-21 13:36:27,2.379,2.269,2.329,4,0
2026-08-21 13:54:46,2.379,2.259,2.319,4,0
2026-08-21 14:17:03,2.339,2.259,2.319,4,0
2026-08-21 14:25:14,2.339,2.249,2.309,4,0
2026-08-21 14:37:25,2.329,2.249,2.309,4,0
2026-08-21 14:57:43,2.279,2.209,2.269,4,0
2026-08-21 15:14:56,2.269,2.159,2.219,4,0
2026-08-21 15:36:19,2.219,2.139,2.199,4,0
2026-08-21 15:55:36,2.209,2.139,2.199,4,0
2026-08-21 16:14:53,2.209,2.129,2.189,4,0
2026-08-21 16:34:11,2.199,2.129,2.189,4,0
2026-08-21 17:17:50,2.189,2.129,2.189,4,0
2026-08-21 17:55:28,2.189,2.119,2.179,4,0
2026-08-21 19:15:34,2.189,2.109,2.169,4,0
2026-08-22 09:46:46,2.189,2.099,2.159,5,0
2026-08-22 11:39:26,2.189,2.079,2.139,5,0
2026-08-22 12:04:46,2.459,2.359,2.399,5,0
2026-08-22 12:45:26,2.409,2.319,2.359,5,0
2026-08-22 12:51:30,2.409,2.309,2.359,5,0
2026-08-22 12:57:34,2.399,2.299,2.359,5,0
2026-08-22 13:28:58,2.389,2.299,2.359,5,0
2026-08-22 13:58:28,2.379,2.299,2.359,5,0
2026-08-22 14:14:40,2.359,2.259,2.319,5,0
2026-08-22 14:24:51,2.319,2.259,2.319,5,0
2026-08-22 14:28:55,2.309,2.259,2.319,5,0
2026-08-22 14:34:59,2.299,2.229,2.289,5,0
2026-08-22 14:43:11,2.289,2.229,2.289,5,0
2026-08-22 14:54:22,2.279,2.179,2.239,5,0
2026-08-22 15:14:41,2.249,2.179,2.239,5,0
2026-08-22 15:16:45,2.219,2.149,2.209,5,0
2026-08-22 15:37:02,2.189,2.129,2.189,5,0
2026-08-22 15:57:20,2.189,2.119,2.179,5,0
2026-08-23 08:53:15,2.189,2.109,2.169,6,0
2026-08-23 11:35:37,2.189,2.089,2.149,6,0
2026-08-23 12:05:00,2.459,2.369,2.399,6,0
2026-08-23 12:43:38,2.419,2.319,2.379,6,0
2026-08-23 12:53:47,2.419,2.319,2.369,6,0
2026-08-23 13:15:07,2.409,2.109,2.169,6,0
2026-08-24 10:35:01,2.409,2.099,2.159,0,0
2026-08-24 12:07:27,2.459,2.359,2.399,0,0
2026-08-24 12:45:06,2.419,2.329,2.389,0,0
2026-08-24 12:55:18,2.409,2.319,2.379,0,0
2026-08-24 13:09:29,2.399,2.299,2.359,0,0
